"","ESV_study$Name"
"KO:K02160","acetyl-CoA carboxylase biotin carboxyl carrier protein (accB, bccP)"
"KO:K02169","malonyl-CoA O-methyltransferase [EC:2.1.1.197] (bioC)"
"KO:K02302","uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4] (cysG)"
"KO:K02335","DNA polymerase I [EC:2.7.7.7] (DPO1, polA)"
"KO:K02337","DNA polymerase III subunit alpha [EC:2.7.7.7] (DPO3A1, dnaE)"
"KO:K02338","DNA polymerase III subunit beta [EC:2.7.7.7] (DPO3B, dnaN)"
"KO:K02339","DNA polymerase III subunit chi [EC:2.7.7.7] (DPO3C, holC)"
"KO:K02340","DNA polymerase III subunit delta [EC:2.7.7.7] (DPO3D1, holA)"
"KO:K02341","DNA polymerase III subunit delta' [EC:2.7.7.7] (DPO3D2, holB)"
"KO:K02342","DNA polymerase III subunit epsilon [EC:2.7.7.7] (DPO3E, dnaQ)"
"KO:K02343","DNA polymerase III subunit gamma/tau [EC:2.7.7.7] (DPO3G, dnaX)"
"KO:K02344","DNA polymerase III subunit psi [EC:2.7.7.7] (DPO3P, holD)"
"KO:K02372","3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59] (fabZ)"
"KO:K02438","glycogen operon protein [EC:3.2.1.-] (treX, glgX)"
"KO:K02446","fructose-1,6-bisphosphatase II [EC:3.1.3.11] (glpX)"
"KO:K02492","glutamyl-tRNA reductase [EC:1.2.1.70] (hemA)"
"KO:K02495","oxygen-independent coproporphyrinogen III oxidase [EC:1.3.99.22] (hemN, hemZ)"
"KO:K02496","uroporphyrin-III C-methyltransferase [EC:2.1.1.107] (hemX)"
"KO:K02500","cyclase [EC:4.1.3.-] (hisF)"
"KO:K02501","glutamine amidotransferase [EC:2.4.2.-] (hisH)"
"KO:K02517","KDO2-lipid IV(A) lauroyltransferase [EC:2.3.1.241] (lpxL, htrB)"
"KO:K02527","3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15] (kdtA, waaA)"
"KO:K02535","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108] (lpxC)"
"KO:K02536","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191] (lpxD)"
"KO:K02548","1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-] (menA)"
"KO:K02549","O-succinylbenzoate synthase [EC:4.2.1.113] (menC)"
"KO:K02551","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9] (menD)"
"KO:K02552","menaquinone-specific isochorismate synthase [EC:5.4.4.2] (menF)"
"KO:K02560","lauroyl-KDO2-lipid IV(A) myristoyltransferase [EC:2.3.1.243] (lpxM, msbB)"
"KO:K02563","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227] (murG)"
"KO:K02564","glucosamine-6-phosphate deaminase [EC:3.5.99.6] (nagB, GNPDA)"
"KO:K02770","PTS system, fructose-specific IIC component (PTS-Fru-EIIC, fruA)"
"KO:K02794","PTS system, mannose-specific IIB component [EC:2.7.1.69] (PTS-Man-EIIB, manX)"
"KO:K02795","PTS system, mannose-specific IIC component (PTS-Man-EIIC, manY)"
"KO:K02796","PTS system, mannose-specific IID component (PTS-Man-EIID, manZ)"
"KO:K02825","pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9] (pyrR)"
"KO:K02841","heptosyltransferase I [EC:2.4.-.-] (waaC, rfaC)"
"KO:K02843","heptosyltransferase II [EC:2.4.-.-] (waaF, rfaF)"
"KO:K02847","O-antigen ligase [EC:2.4.1.-] (waaL, rfaL)"
"KO:K02858","3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12] (ribB, RIB3)"
"KO:K03040","DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (rpoA)"
"KO:K03043","DNA-directed RNA polymerase subunit beta [EC:2.7.7.6] (rpoB)"
"KO:K03046","DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (rpoC)"
"KO:K03060","DNA-directed RNA polymerase subunit omega [EC:2.7.7.6] (rpoZ)"
"KO:K03151","thiamine biosynthesis protein ThiI (thiI)"
"KO:K03269","UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54] (lpxH)"
"KO:K03270","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45] (kdsC)"
"KO:K03271","D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28] (gmhA, lpcA)"
"KO:K03272","D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70] (gmhC, hldE, waaE, rfaE)"
"KO:K03273","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83] (gmhB)"
"KO:K03274","ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20] (gmhD, rfaD)"
"KO:K03335","inosose dehydratase [EC:4.2.1.44] (iolE)"
"KO:K03336","3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22] (iolD)"
"KO:K03337","5-deoxy-glucuronate isomerase [EC:5.3.1.30] (iolB)"
"KO:K03338","5-dehydro-2-deoxygluconokinase [EC:2.7.1.92] (iolC)"
"KO:K03431","phosphoglucosamine mutase [EC:5.4.2.10] (glmM)"
"KO:K03524","BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15] (birA)"
"KO:K03526","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3] (gcpE, ispG)"
"KO:K03527","4-hydroxy-3-methylbut-2-enyl diphosphate reductase [EC:1.17.1.2] (ispH, lytB)"
"KO:K03621","glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15] (plsX)"
"KO:K03635","molybdopterin synthase catalytic subunit [EC:2.8.1.12] (MOCS2, moaE)"
"KO:K03636","molybdopterin synthase sulfur carrier subunit (moaD)"
"KO:K03637","cyclic pyranopterin phosphate synthase [EC:4.1.99.18] (moaC)"
"KO:K03639","cyclic pyranopterin phosphate synthase [EC:4.1.99.18] (MOCS1, moaA)"
"KO:K03644","lipoic acid synthetase [EC:2.8.1.8] (lipA)"
"KO:K03707","thiaminase (transcriptional activator TenA) [EC:3.5.99.2] (tenA)"
"KO:K03784","purine-nucleoside phosphorylase [EC:2.4.2.1] (deoD)"
"KO:K03786","3-dehydroquinate dehydratase II [EC:4.2.1.10] (aroQ, qutE)"
"KO:K03787","5'-nucleotidase [EC:3.1.3.5] (surE)"
"KO:K03801","lipoyl(octanoyl) transferase [EC:2.3.1.181] (lipB)"
"KO:K03841","fructose-1,6-bisphosphatase I [EC:3.1.3.11] (FBP, fbp)"
"KO:K04042","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157] (glmU)"
"KO:K04072","acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] (adhE)"
"KO:K04487","cysteine desulfurase [EC:2.8.1.7] (iscS, NFS1)"
"KO:K04765","ATP diphosphatase [EC:3.6.1.8] (mazG)"
"KO:K05366","penicillin-binding protein 1A [EC:2.4.1.- 3.4.-.-] (mrcA)"
"KO:K06041","arabinose-5-phosphate isomerase [EC:5.3.1.13] (kdsD, kpsF)"
"KO:K06131","cardiolipin synthase A/B [EC:2.7.8.-] (clsA_B)"
"KO:K06211","HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22] (nadR)"
"KO:K06879","7-cyano-7-deazaguanine reductase [EC:1.7.1.13] (queF)"
"KO:K06920","7-cyano-7-deazaguanine synthase [EC:6.3.4.20] (queC)"
"KO:K07106","N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126] (murQ)"
"KO:K07173","S-ribosylhomocysteine lyase [EC:4.4.1.21] (luxS)"
"KO:K07258","D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4] (dacC, dacA, dacD)"
"KO:K07751","PepB aminopeptidase [EC:3.4.11.23] (pepB)"
"KO:K08289","phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2] (purT)"
"KO:K08591","glycerol-3-phosphate acyltransferase PlsY [EC:2.3.1.15] (plsY)"
"KO:K08680","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [EC:4.2.99.20] (menH)"
"KO:K09458","3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179] (fabF)"
"KO:K09471","gamma-glutamylputrescine oxidase [EC:1.4.3.-] (puuB, ordL)"
"KO:K09789","pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85] (bioG)"
"KO:K09903","uridylate kinase [EC:2.7.4.22] (pyrH)"
"KO:K11175","phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2] (purN)"
"KO:K11258","acetolactate synthase II small subunit [EC:2.2.1.6] (ilvM)"
"KO:K11751","5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45] (ushA)"
"KO:K11752","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193] (ribD)"
"KO:K11753","riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2] (ribF)"
"KO:K11754","dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17] (folC)"
"KO:K11755","phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19] (hisIE)"
"KO:K12373","hexosaminidase [EC:3.2.1.52] (HEXA_B)"
"KO:K12524","bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3] (thrA)"
"KO:K13038","phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5] (coaBC, dfp)"
"KO:K13498","indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24] (trpCF)"
"KO:K13788","phosphate acetyltransferase [EC:2.3.1.8] (pta)"
"KO:K13821","RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88] (putA)"
"KO:K14170","chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51] (pheA)"
"KO:K14187","chorismate mutase / prephenate dehydrogenase [EC:5.4.99.5 1.3.1.12] (tyrA)"
"KO:K14260","alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2] (alaA)"
"KO:K15634","probable phosphoglycerate mutase [EC:5.4.2.12] (gpmB)"
"KO:K16066","3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-] (ydfG)"
